,no,toto,Date,Close,warna,ML,symbol
0,0,0,2004-09-28,825.0,red,KNN,TLKM
1,1,1,2004-09-29,825.0,red,KNN,TLKM
2,2,2,2004-09-30,830.0,red,KNN,TLKM
3,3,3,2004-10-01,840.0,red,KNN,TLKM
4,4,4,2004-10-04,870.0,red,KNN,TLKM
5,5,5,2004-10-05,880.0,red,KNN,TLKM
6,6,6,2004-10-06,860.0,red,KNN,TLKM
7,7,7,2004-10-07,855.0,red,KNN,TLKM
8,8,8,2004-10-08,855.0,red,KNN,TLKM
9,9,9,2004-10-11,870.0,red,KNN,TLKM
10,10,10,2004-10-12,855.0,red,KNN,TLKM
11,11,11,2004-10-13,870.0,red,KNN,TLKM
12,12,12,2004-10-14,860.0,red,KNN,TLKM
13,13,13,2004-10-15,860.0,red,KNN,TLKM
14,14,14,2004-10-18,855.0,red,KNN,TLKM
15,15,15,2004-10-19,880.0,red,KNN,TLKM
16,16,16,2004-10-20,865.0,red,KNN,TLKM
17,17,17,2004-10-21,850.0,red,KNN,TLKM
18,18,18,2004-10-22,870.0,red,KNN,TLKM
19,19,19,2004-10-25,860.0,red,KNN,TLKM
20,20,20,2004-10-26,835.0,red,KNN,TLKM
21,21,21,2004-10-27,840.0,red,KNN,TLKM
22,22,22,2004-10-28,860.0,red,KNN,TLKM
23,23,23,2004-10-29,870.0,red,KNN,TLKM
24,24,24,2004-11-01,870.0,red,KNN,TLKM
25,25,25,2004-11-02,915.0,red,KNN,TLKM
26,26,26,2004-11-03,945.0,red,KNN,TLKM
27,27,27,2004-11-04,920.0,red,KNN,TLKM
28,28,28,2004-11-05,930.0,red,KNN,TLKM
29,29,29,2004-11-08,925.0,red,KNN,TLKM
30,30,30,2004-11-09,935.0,red,KNN,TLKM
31,31,31,2004-11-10,950.0,red,KNN,TLKM
32,32,32,2004-11-11,940.0,red,KNN,TLKM
33,33,33,2004-11-12,945.0,red,KNN,TLKM
34,34,34,2004-11-22,990.0,red,KNN,TLKM
35,35,35,2004-11-23,1000.0,red,KNN,TLKM
36,36,36,2004-11-24,1020.0,red,KNN,TLKM
37,37,37,2004-11-25,990.0,red,KNN,TLKM
38,38,38,2004-11-26,1000.0,red,KNN,TLKM
39,39,39,2004-11-29,990.0,red,KNN,TLKM
40,40,40,2004-11-30,1000.0,red,KNN,TLKM
41,41,41,2004-12-01,1020.0,red,KNN,TLKM
42,42,42,2004-12-02,1040.0,red,KNN,TLKM
43,43,43,2004-12-03,1000.0,red,KNN,TLKM
44,44,44,2004-12-06,1000.0,red,KNN,TLKM
45,45,45,2004-12-07,1020.0,red,KNN,TLKM
46,46,46,2004-12-08,1010.0,red,KNN,TLKM
47,47,47,2004-12-09,980.0,red,KNN,TLKM
48,48,48,2004-12-10,940.0,red,KNN,TLKM
49,49,49,2004-12-13,940.0,red,KNN,TLKM
50,50,50,2004-12-14,920.0,red,KNN,TLKM
51,51,51,2004-12-15,950.0,red,KNN,TLKM
52,52,52,2004-12-16,975.0,red,KNN,TLKM
53,53,53,2004-12-17,990.0,red,KNN,TLKM
54,54,54,2004-12-20,985.0,red,KNN,TLKM
55,55,55,2004-12-21,980.0,red,KNN,TLKM
56,56,56,2004-12-22,975.0,red,KNN,TLKM
57,57,57,2004-12-23,965.0,red,KNN,TLKM
58,58,58,2004-12-27,975.0,red,KNN,TLKM
59,59,59,2004-12-28,970.0,red,KNN,TLKM
60,60,60,2004-12-29,980.0,red,KNN,TLKM
61,61,61,2004-12-30,965.0,red,KNN,TLKM
62,62,62,2005-01-03,985.0,red,KNN,TLKM
63,63,63,2005-01-04,990.0,red,KNN,TLKM
64,64,64,2005-01-05,975.0,red,KNN,TLKM
65,65,65,2005-01-06,995.0,red,KNN,TLKM
66,66,66,2005-01-07,1025.0,red,KNN,TLKM
67,67,67,2005-01-10,990.0,red,KNN,TLKM
68,68,68,2005-01-11,970.0,red,KNN,TLKM
69,69,69,2005-01-12,965.0,red,KNN,TLKM
70,70,70,2005-01-13,995.0,red,KNN,TLKM
71,71,71,2005-01-14,1000.0,red,KNN,TLKM
72,72,72,2005-01-17,1000.0,red,KNN,TLKM
73,73,73,2005-01-18,990.0,red,KNN,TLKM
74,74,74,2005-01-19,990.0,red,KNN,TLKM
75,75,75,2005-01-20,990.0,red,KNN,TLKM
76,76,76,2005-01-24,970.0,red,KNN,TLKM
77,77,77,2005-01-25,965.0,red,KNN,TLKM
78,78,78,2005-01-26,970.0,red,KNN,TLKM
79,79,79,2005-01-27,960.0,red,KNN,TLKM
80,80,80,2005-01-28,960.0,red,KNN,TLKM
81,81,81,2005-01-31,960.0,red,KNN,TLKM
82,82,82,2005-02-01,965.0,red,KNN,TLKM
83,83,83,2005-02-02,950.0,red,KNN,TLKM
84,84,84,2005-02-03,940.0,red,KNN,TLKM
85,85,85,2005-02-04,935.0,red,KNN,TLKM
86,86,86,2005-02-07,930.0,red,KNN,TLKM
87,87,87,2005-02-08,925.0,red,KNN,TLKM
88,88,88,2005-02-11,935.0,red,KNN,TLKM
89,89,89,2005-02-14,930.0,red,KNN,TLKM
90,90,90,2005-02-15,950.0,red,KNN,TLKM
91,91,91,2005-02-16,950.0,red,KNN,TLKM
92,92,92,2005-02-17,940.0,red,KNN,TLKM
93,93,93,2005-02-18,940.0,red,KNN,TLKM
94,94,94,2005-02-21,925.0,red,KNN,TLKM
95,95,95,2005-02-22,930.0,red,KNN,TLKM
96,96,96,2005-02-23,930.0,red,KNN,TLKM
97,97,97,2005-02-24,915.0,red,KNN,TLKM
98,98,98,2005-02-25,895.0,red,KNN,TLKM
99,99,99,2005-02-28,885.0,red,KNN,TLKM
100,100,100,2005-03-01,910.0,red,KNN,TLKM
101,101,101,2005-03-02,895.0,red,KNN,TLKM
102,102,102,2005-03-03,905.0,red,KNN,TLKM
103,103,103,2005-03-04,885.0,red,KNN,TLKM
104,104,104,2005-03-07,885.0,red,KNN,TLKM
105,105,105,2005-03-08,895.0,red,KNN,TLKM
106,106,106,2005-03-09,905.0,red,KNN,TLKM
107,107,107,2005-03-10,885.0,red,KNN,TLKM
108,108,108,2005-03-14,860.0,red,KNN,TLKM
109,109,109,2005-03-15,875.0,red,KNN,TLKM
110,110,110,2005-03-16,875.0,red,KNN,TLKM
111,111,111,2005-03-17,880.0,red,KNN,TLKM
112,112,112,2005-03-18,885.0,red,KNN,TLKM
113,113,113,2005-03-21,905.0,red,KNN,TLKM
114,114,114,2005-03-22,915.0,red,KNN,TLKM
115,115,115,2005-03-23,925.0,red,KNN,TLKM
116,116,116,2005-03-24,910.0,red,KNN,TLKM
117,117,117,2005-03-28,915.0,red,KNN,TLKM
118,118,118,2005-03-29,900.0,red,KNN,TLKM
119,119,119,2005-03-30,890.0,red,KNN,TLKM
120,120,120,2005-03-31,895.0,red,KNN,TLKM
121,121,121,2005-04-01,925.0,red,KNN,TLKM
122,122,122,2005-04-04,940.0,red,KNN,TLKM
123,123,123,2005-04-05,930.0,red,KNN,TLKM
124,124,124,2005-04-06,925.0,red,KNN,TLKM
125,125,125,2005-04-07,935.0,red,KNN,TLKM
126,126,126,2005-04-08,935.0,red,KNN,TLKM
127,127,127,2005-04-11,940.0,red,KNN,TLKM
128,128,128,2005-04-12,935.0,red,KNN,TLKM
129,129,129,2005-04-13,945.0,red,KNN,TLKM
130,130,130,2005-04-14,935.0,red,KNN,TLKM
131,131,131,2005-04-15,925.0,red,KNN,TLKM
132,132,132,2005-04-18,900.0,red,KNN,TLKM
133,133,133,2005-04-19,890.0,red,KNN,TLKM
134,134,134,2005-04-20,885.0,red,KNN,TLKM
135,135,135,2005-04-21,875.0,red,KNN,TLKM
136,136,136,2005-04-25,870.0,red,KNN,TLKM
137,137,137,2005-04-26,875.0,red,KNN,TLKM
138,138,138,2005-04-27,865.0,red,KNN,TLKM
139,139,139,2005-04-28,870.0,red,KNN,TLKM
140,140,140,2005-04-29,855.0,red,KNN,TLKM
141,141,141,2005-05-02,845.0,red,KNN,TLKM
142,142,142,2005-05-03,835.0,red,KNN,TLKM
143,143,143,2005-05-04,860.0,red,KNN,TLKM
144,144,144,2005-05-06,900.0,red,KNN,TLKM
145,145,145,2005-05-09,930.0,red,KNN,TLKM
146,146,146,2005-05-10,920.0,red,KNN,TLKM
147,147,147,2005-05-11,890.0,red,KNN,TLKM
148,148,148,2005-05-12,895.0,red,KNN,TLKM
149,149,149,2005-05-13,885.0,red,KNN,TLKM
150,150,150,2005-05-16,865.0,red,KNN,TLKM
151,151,151,2005-05-17,875.0,red,KNN,TLKM
152,152,152,2005-05-18,875.0,red,KNN,TLKM
153,153,153,2005-05-19,895.0,red,KNN,TLKM
154,154,154,2005-05-20,910.0,red,KNN,TLKM
155,155,155,2005-05-23,920.0,red,KNN,TLKM
156,156,156,2005-05-25,920.0,red,KNN,TLKM
157,157,157,2005-05-26,920.0,red,KNN,TLKM
158,158,158,2005-05-27,920.0,red,KNN,TLKM
159,159,159,2005-05-30,930.0,red,KNN,TLKM
160,160,160,2005-05-31,930.0,red,KNN,TLKM
161,161,161,2005-06-01,950.0,red,KNN,TLKM
162,162,162,2005-06-02,965.0,red,KNN,TLKM
163,163,163,2005-06-03,960.0,red,KNN,TLKM
164,164,164,2005-06-06,960.0,red,KNN,TLKM
165,165,165,2005-06-07,955.0,red,KNN,TLKM
166,166,166,2005-06-08,945.0,red,KNN,TLKM
167,167,167,2005-06-09,940.0,red,KNN,TLKM
168,168,168,2005-06-10,950.0,red,KNN,TLKM
169,169,169,2005-06-13,965.0,red,KNN,TLKM
170,170,170,2005-06-14,975.0,red,KNN,TLKM
171,171,171,2005-06-15,975.0,red,KNN,TLKM
172,172,172,2005-06-16,985.0,red,KNN,TLKM
173,173,173,2005-06-17,1040.0,red,KNN,TLKM
174,174,174,2005-06-20,1070.0,red,KNN,TLKM
175,175,175,2005-06-21,1020.0,red,KNN,TLKM
176,176,176,2005-06-22,1000.0,red,KNN,TLKM
177,177,177,2005-06-23,990.0,red,KNN,TLKM
178,178,178,2005-06-24,995.0,red,KNN,TLKM
179,179,179,2005-06-27,980.0,red,KNN,TLKM
180,180,180,2005-06-28,1000.0,red,KNN,TLKM
181,181,181,2005-06-29,1010.0,red,KNN,TLKM
182,182,182,2005-06-30,1000.0,red,KNN,TLKM
183,183,183,2005-07-01,1050.0,red,KNN,TLKM
184,184,184,2005-07-04,1050.0,red,KNN,TLKM
185,185,185,2005-07-05,1040.0,red,KNN,TLKM
186,186,186,2005-07-06,1000.0,red,KNN,TLKM
187,187,187,2005-07-07,1000.0,red,KNN,TLKM
188,188,188,2005-07-08,990.0,red,KNN,TLKM
189,189,189,2005-07-11,995.0,red,KNN,TLKM
190,190,190,2005-07-12,1000.0,red,KNN,TLKM
191,191,191,2005-07-13,1020.0,red,KNN,TLKM
192,192,192,2005-07-14,1030.0,red,KNN,TLKM
193,193,193,2005-07-15,1050.0,red,KNN,TLKM
194,194,194,2005-07-18,1030.0,red,KNN,TLKM
195,195,195,2005-07-19,1030.0,red,KNN,TLKM
196,196,196,2005-07-20,1050.0,red,KNN,TLKM
197,197,197,2005-07-21,1090.0,red,KNN,TLKM
198,198,198,2005-07-22,1160.0,red,KNN,TLKM
199,199,199,2005-07-25,1130.0,red,KNN,TLKM
200,200,200,2005-07-26,1140.0,red,KNN,TLKM
201,201,201,2005-07-27,1120.0,red,KNN,TLKM
202,202,202,2005-07-28,1140.0,red,KNN,TLKM
203,203,203,2005-07-29,1110.0,red,KNN,TLKM
204,204,204,2005-08-01,1100.0,red,KNN,TLKM
205,205,205,2005-08-02,1140.0,red,KNN,TLKM
206,206,206,2005-08-03,1140.0,red,KNN,TLKM
207,207,207,2005-08-04,1120.0,red,KNN,TLKM
208,208,208,2005-08-05,1100.0,red,KNN,TLKM
209,209,209,2005-08-08,1070.0,red,KNN,TLKM
210,210,210,2005-08-09,1080.0,red,KNN,TLKM
211,211,211,2005-08-10,1130.0,red,KNN,TLKM
212,212,212,2005-08-11,1110.0,red,KNN,TLKM
213,213,213,2005-08-12,1070.0,red,KNN,TLKM
214,214,214,2005-08-15,1040.0,red,KNN,TLKM
215,215,215,2005-08-16,1030.0,red,KNN,TLKM
216,216,216,2005-08-18,1000.0,red,KNN,TLKM
217,217,217,2005-08-19,1010.0,red,KNN,TLKM
218,218,218,2005-08-22,1020.0,red,KNN,TLKM
219,219,219,2005-08-23,1010.0,red,KNN,TLKM
220,220,220,2005-08-24,990.0,red,KNN,TLKM
221,221,221,2005-08-25,985.0,red,KNN,TLKM
222,222,222,2005-08-26,995.0,red,KNN,TLKM
223,223,223,2005-08-29,955.0,red,KNN,TLKM
224,224,224,2005-08-30,1005.0,red,KNN,TLKM
225,225,225,2005-08-31,1030.0,red,KNN,TLKM
226,226,226,2005-09-01,1000.0,red,KNN,TLKM
227,227,227,2005-09-05,1020.0,red,KNN,TLKM
228,228,228,2005-09-06,1050.0,red,KNN,TLKM
229,229,229,2005-09-07,1040.0,red,KNN,TLKM
230,230,230,2005-09-08,1090.0,red,KNN,TLKM
231,231,231,2005-09-09,1140.0,red,KNN,TLKM
232,232,232,2005-09-12,1120.0,red,KNN,TLKM
233,233,233,2005-09-13,1060.0,red,KNN,TLKM
234,234,234,2005-09-14,1010.0,red,KNN,TLKM
235,235,235,2005-09-15,1000.0,red,KNN,TLKM
236,236,236,2005-09-16,1030.0,red,KNN,TLKM
237,237,237,2005-09-19,1060.0,red,KNN,TLKM
238,238,238,2005-09-20,1040.0,red,KNN,TLKM
239,239,239,2005-09-21,1020.0,red,KNN,TLKM
240,240,240,2005-09-22,980.0,red,KNN,TLKM
241,241,241,2005-09-23,985.0,red,KNN,TLKM
242,242,242,2005-09-26,1040.0,red,KNN,TLKM
243,243,243,2005-09-27,1040.0,red,KNN,TLKM
244,244,244,2005-09-28,1030.0,red,KNN,TLKM
245,245,245,2005-09-29,1040.0,red,KNN,TLKM
246,246,246,2005-09-30,1070.0,red,KNN,TLKM
247,247,247,2005-10-03,1060.0,red,KNN,TLKM
248,248,248,2005-10-04,1080.0,red,KNN,TLKM
249,249,249,2005-10-05,1080.0,red,KNN,TLKM
250,250,250,2005-10-06,1060.0,red,KNN,TLKM
251,251,251,2005-10-07,1020.0,red,KNN,TLKM
252,252,252,2005-10-10,1040.0,red,KNN,TLKM
253,253,253,2005-10-11,1040.0,red,KNN,TLKM
254,254,254,2005-10-12,1040.0,red,KNN,TLKM
255,255,255,2005-10-13,1020.0,red,KNN,TLKM
256,256,256,2005-10-14,1040.0,red,KNN,TLKM
257,257,257,2005-10-17,1040.0,red,KNN,TLKM
258,258,258,2005-10-18,1070.0,red,KNN,TLKM
259,259,259,2005-10-19,1040.0,red,KNN,TLKM
260,260,260,2005-10-20,1030.0,red,KNN,TLKM
261,261,261,2005-10-21,1030.0,red,KNN,TLKM
262,262,262,2005-10-24,1030.0,red,KNN,TLKM
263,263,263,2005-10-25,1010.0,red,KNN,TLKM
264,264,264,2005-10-26,1010.0,red,KNN,TLKM
265,265,265,2005-10-27,1010.0,red,KNN,TLKM
266,266,266,2005-10-28,1010.0,red,KNN,TLKM
267,267,267,2005-10-31,1000.0,red,KNN,TLKM
268,268,268,2005-11-01,1010.0,red,KNN,TLKM
269,269,269,2005-11-09,990.0,red,KNN,TLKM
270,270,270,2005-11-10,990.0,red,KNN,TLKM
271,271,271,2005-11-11,985.0,red,KNN,TLKM
272,272,272,2005-11-14,995.0,red,KNN,TLKM
273,273,273,2005-11-15,1015.0,red,KNN,TLKM
274,274,274,2005-11-16,1010.0,red,KNN,TLKM
275,275,275,2005-11-17,1010.0,red,KNN,TLKM
276,276,276,2005-11-18,1030.0,red,KNN,TLKM
277,277,277,2005-11-21,1040.0,red,KNN,TLKM
278,278,278,2005-11-22,1040.0,red,KNN,TLKM
279,279,279,2005-11-23,1030.0,red,KNN,TLKM
280,280,280,2005-11-24,1060.0,red,KNN,TLKM
281,281,281,2005-11-25,1050.0,red,KNN,TLKM
282,282,282,2005-11-28,1070.0,red,KNN,TLKM
283,283,283,2005-11-29,1070.0,red,KNN,TLKM
284,284,284,2005-11-30,1100.0,red,KNN,TLKM
285,285,285,2005-12-01,1090.0,red,KNN,TLKM
286,286,286,2005-12-02,1110.0,red,KNN,TLKM
287,287,287,2005-12-05,1130.0,red,KNN,TLKM
288,288,288,2005-12-06,1120.0,red,KNN,TLKM
289,289,289,2005-12-07,1160.0,red,KNN,TLKM
290,290,290,2005-12-08,1160.0,red,KNN,TLKM
291,291,291,2005-12-09,1170.0,red,KNN,TLKM
292,292,292,2005-12-12,1200.0,red,KNN,TLKM
293,293,293,2005-12-13,1230.0,red,KNN,TLKM
294,294,294,2005-12-14,1210.0,red,KNN,TLKM
295,295,295,2005-12-15,1180.0,red,KNN,TLKM
296,296,296,2005-12-16,1140.0,red,KNN,TLKM
297,297,297,2005-12-19,1200.0,red,KNN,TLKM
298,298,298,2005-12-20,1200.0,red,KNN,TLKM
299,299,299,2005-12-21,1210.0,red,KNN,TLKM
300,300,300,2005-12-22,1210.0,red,KNN,TLKM
301,301,301,2005-12-23,1190.0,red,KNN,TLKM
302,302,302,2005-12-27,1190.0,red,KNN,TLKM
303,303,303,2005-12-28,1180.0,red,KNN,TLKM
304,304,304,2005-12-29,1180.0,red,KNN,TLKM
305,305,305,2006-01-02,1220.0,red,KNN,TLKM
306,306,306,2006-01-03,1230.0,red,KNN,TLKM
307,307,307,2006-01-04,1240.0,red,KNN,TLKM
308,308,308,2006-01-05,1210.0,red,KNN,TLKM
309,309,309,2006-01-06,1210.0,red,KNN,TLKM
310,310,310,2006-01-09,1230.0,red,KNN,TLKM
311,311,311,2006-01-11,1310.0,red,KNN,TLKM
312,312,312,2006-01-12,1280.0,red,KNN,TLKM
313,313,313,2006-01-13,1240.0,red,KNN,TLKM
314,314,314,2006-01-16,1230.0,red,KNN,TLKM
315,315,315,2006-01-17,1230.0,red,KNN,TLKM
316,316,316,2006-01-18,1210.0,red,KNN,TLKM
317,317,317,2006-01-19,1260.0,red,KNN,TLKM
